app,question,answer
0,How do you secure my personal information?,<p>Check out our Privacy Policy for more details.</p>
0,How long before I can received my order?,<p><strong>Standard Delivery&nbsp;</strong><br>Metro Manila: Within 1 to 3 working days (does not include Saturday and Sunday)&nbsp;<br>Nationwide: Within 5 to 7 working days (does not include Saturday and Sunday)&nbsp;<br><br><strong>Express Delivery&nbsp;</strong><br>Metro Manila: Same day delivery if order is received before 4PM. Please expect delivery until 10PM for delivery request received in the afternoon. Guaranteed next day delivery if order is received beyond 4PM (does not include Sunday and declared holiday)&nbsp;<br>Outside Metro Manila: Not covered by express delivery&nbsp;<br>&nbsp;</p>
0,How much is your delivery fee?,"<p style=""text-align:justify;""><strong>Standard Delivery&nbsp;</strong><br>Metro Manila: We offer free delivery for orders Php1,000.00 and above. For orders below Php1,000.00, the system will calculate based on your total amount due.&nbsp;<br><br><br><strong>Express Delivery&nbsp;</strong><br>Metro Manila: A fee of Php150.00 will be charged upon checkout.&nbsp;<br><br><br>Areas outside Metro Manila are not covered by Express and Urgent Deliveries.</p>"
0,How do I follow-up my order?,"<p><strong>Standard Delivery</strong> for Metro Manila may take 1-3 working days (excluding weekends and holidays) for the orders to be delivered while Provincial Delivery may take 2-7 working days (excluding weekends and holidays.)&nbsp;<br><br><strong>For express delivery</strong>, fulfillment is on the same day if order is received before 4PM and the following day if order is received beyond that (does not include Sunday and declared holiday.) Orders for Express Delivery request that were received beyond 4PM on Saturday will be delivered as priority Monday morning or on the next business day if Monday is a declared holiday. Kindly expect your delivery until 10PM.&nbsp;<br><br>If in any event that the delivery of your order has exceeded the specified timeline above, please notify us thru chat or email us at customercare@trinityhealth.com.ph. You may also call us at 0917-1111975 (Mon - Fri 8AM - 5PM.) &nbsp;</p>"
0,How do I return the defective products I received?,"<p style=""text-align:justify;"">If an item is damaged during shipping, a replacement item will be sent free of charge. If an item is in unsatisfactory condition when received, we will require a written explanation to be emailed at customercare@trinityhealth.com.ph before the item may be considered for a refund. Products that are damaged or is in unsatisfactory condition may be refunded, returned or exchanged within only 7 days from the time the order was received. Products should be in its original received condition and must be unused.&nbsp;<br><br>If you received a wrong item or package, notify us immediately (until 7 days from the time the order was received) so we can correct this. &nbsp;You may text or call us at 0917-1111975.<br><br>Items that offered as a part of a promo or ""sale"" are non-refundable and non-returnable.&nbsp;<br><br>On the condition that the defect is due to mishandling of the buyer or that the buyer had a changed of mind, a request for returns, refunds, or exchange can not be granted (RA 7394.)</p>"
0,How do I earn Reward Points?,<p>Every product you purchase from the TrinityCare app entitles you to corresponding Reward Points which you will earn once the order is completed.</p>
0,Until when are my Reward Points valid?,<p>Your Reward Points are non-expiring.</p>
0,What can I redeem with my Rewards Points?,"<p>Our rewards system is powered by Giftaway. Go to the Rewards page to see all the available offers. For the complete list of merchant partners, visit www.giftaway.ph.</p>"
0,How can I redeem the rewards I want?,"<p style=""text-align:justify;"">1. Go to the Rewards page and select the merchant you wish to redeem rewards from.&nbsp;<br><br>2. Check if your earned points is either equal or more than the the points required by the Reward you wish to redeem. Or you may choose from the list of available offers that corresponds to your earned points. &nbsp;<br><br>3. Confirm to proceed and to complete the redemption process.&nbsp;<br><br>4. Upon completion of the process, an eGift voucher will be sent to the account holder's registered email address and mobile number within 1 to 3 banking days from the date of redemption.</p>"
0,How can I use the eGift voucher code I received?,"<p style=""text-align:justify;"">The recipient must only give or present this to the store manager or its official representative, or its equivalent (e.g. online checkout) once he/she commits to use it. The eGift voucher code is valid for one-time use only. If the total value of the eGift voucher is not used up, or less than the amount of the price of the product or service purchased, no cash change will be give. If the purchase goes beyond the eGift voucher amount, the recipient must pay the difference.&nbsp;</p>"
0,Can you help me retrieve my unused eGift voucher code?,"<p style=""text-align:justify;"">The recipient of the reward is responsible for the safekeeping of the eGift code. If in any instance that you have misplaced your unused eGift voucher code or have no ways of retrieving it, you may coordinate with us at customercare@trinityhealth.com.ph or 0917-1111975 and we will assist you. We will require you to provide the mobile number and/or email address to which the code was initially sent. Afterwhich, we will coordinate with Giftaway Team to help retrieve the code. The code will be re-sent after their support team has verified the mobile number and/or email.</p>"
0,Can I replace the Rewards with another one?,"<p style=""text-align:justify;"">No reward may be returned or replaced with cash or substituted for another reward by a customer. Points conversion or redemption is final and can no longer be converted back to TrinityCare points.&nbsp;<br><br>The eGift Rewards shall be governed by Giftaway's Terms and Conditions. You may visit www.giftaway.ph/terms for the complete details.</p>"
0,How can I upload the prescription from my doctor?,"<p>You may either enter the QR code of the doctor who have prescribed you &nbsp;the product or upload the photo of the prescription given.&nbsp;<br><br><strong>To enter QR ID: &nbsp;</strong><br>1. Go the Home page of the TrinityCare app. From the list of the linked doctors, locate the specialization of the doctor who have prescribed you the product. Select or click it from the list to copy the doctor's QR ID. &nbsp;<br>2. Go to the Product page to select the product. Add to Cart.&nbsp;<br>3. Choose ENTER DOCTOR'S QR from the list. Tap to Paste the QR ID and Proceed.&nbsp;<br><br><strong>To upload prescription photo:&nbsp;</strong><br>1. Take a picture of the prescription using your phone's camera and save it on your gallery.&nbsp;<br>2. Go to the Product page to select the product. Add to Cart.&nbsp;<br>3. Choose UPLOAD PRESCRIPTION IMAGE. Browse thru your gallery for the photo of your prescrption.&nbsp;<br>4. Upload it and Proceed.</p>"
